129.100.92.152 - - [13/Nov/2013:20:21:23 -0500] "GET /web/getSpecifyCategoryFacility?cid=07&startid=5&count=10 HTTP/1.1" 200 68
129.100.92.152 - - [13/Nov/2013:20:21:27 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:21:32 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=12&startid=0&count=10 HTTP/1.1" 200 2644
129.100.92.152 - - [13/Nov/2013:20:21:33 -0500] "GET /web/getNews?urltitle=Vegup-Free-Film-Screening-Vegucated-and-Holiday-Recipe-Exchange HTTP/1.1" 200 2195
129.100.92.152 - - [13/Nov/2013:20:22:36 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.152 - - [13/Nov/2013:20:22:49 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:23:10 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.152 - - [13/Nov/2013:20:23:18 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:23:23 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.152 - - [13/Nov/2013:20:23:33 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:31:59 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:32:03 -0500] "GET /web/getNews?urltitle=Irish-Dance-Ceili HTTP/1.1" 200 670
129.100.92.152 - - [13/Nov/2013:20:32:10 -0500] "GET /web/getNews?urltitle=Paul-Reddick--London-Music-Club HTTP/1.1" 200 806
129.100.92.152 - - [13/Nov/2013:20:32:16 -0500] "GET /web/getNews?urltitle=London-Sings-for-Wounded-Warriors HTTP/1.1" 200 1444
129.100.92.152 - - [13/Nov/2013:20:32:39 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.152 - - [13/Nov/2013:20:32:42 -0500] "GET /web/getBus?facilityx=-81.2422423015&facilityy=42.9690882292 HTTP/1.1" 200 12988
129.100.92.152 - - [13/Nov/2013:20:32:59 -0500] "GET /web/getBus?facilityx=-81.2268922336&facilityy=42.9701838842 HTTP/1.1" 200 11376
129.100.92.152 - - [13/Nov/2013:20:33:25 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:33:45 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.152 - - [13/Nov/2013:20:33:47 -0500] "GET /web/getBus?facilityx=-81.21063206&facilityy=42.9622283537 HTTP/1.1" 200 6933
129.100.92.152 - - [13/Nov/2013:20:33:53 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:33:59 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=06&startid=0&count=10 HTTP/1.1" 200 68
129.100.92.152 - - [13/Nov/2013:20:34:01 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=05&startid=0&count=10 HTTP/1.1" 200 1983
129.100.92.152 - - [13/Nov/2013:20:34:07 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=10&startid=0&count=10 HTTP/1.1" 200 68
129.100.92.152 - - [13/Nov/2013:20:34:07 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:34:11 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:34:12 -0500] "GET /web/getNews?urltitle=Paul-Reddick--London-Music-Club HTTP/1.1" 200 806
129.100.92.152 - - [13/Nov/2013:20:47:57 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:50:05 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:50:08 -0500] "GET /web/getSpecifyCategoryFacility?cid=01&startid=0&count=10 HTTP/1.1" 200 1312
129.100.92.152 - - [13/Nov/2013:20:52:20 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:52:22 -0500] "GET /web/getNews?urltitle=Irish-Dance-Ceili HTTP/1.1" 200 670
129.100.92.152 - - [13/Nov/2013:20:52:27 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=10&startid=0&count=10 HTTP/1.1" 200 68
129.100.92.152 - - [13/Nov/2013:20:52:30 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:52:36 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=04&startid=0&count=10 HTTP/1.1" 200 1091
129.100.92.152 - - [13/Nov/2013:20:52:39 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=05&startid=0&count=10 HTTP/1.1" 200 1983
129.100.92.152 - - [13/Nov/2013:20:52:40 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=03&startid=0&count=10 HTTP/1.1" 200 1675
129.100.92.152 - - [13/Nov/2013:20:52:42 -0500] "GET /web/getNews?urltitle=Our-Native-Land-and-Modern-Footprint-Ecological-Change-trough-Time HTTP/1.1" 200 459
129.100.92.152 - - [13/Nov/2013:20:52:46 -0500] "GET /web/getNews?urltitle=Orchestra-London-Masterworks-Series--Mozarts-Requiem HTTP/1.1" 200 731
129.100.92.152 - - [13/Nov/2013:20:52:53 -0500] "GET /web/getNews?urltitle=Orchestra-London-Classics-and-Beyond-Series--Appalachian-Spring HTTP/1.1" 200 712
129.100.92.152 - - [13/Nov/2013:20:52:59 -0500] "GET /web/getNews?urltitle=Orchestra-London-Red-Hot-Weekends--The-Best-of-The-Band HTTP/1.1" 200 591
129.100.92.152 - - [13/Nov/2013:20:53:07 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=03&startid=6&count=10 HTTP/1.1" 200 68
129.100.92.152 - - [13/Nov/2013:20:53:10 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=04&startid=0&count=10 HTTP/1.1" 200 1091
129.100.92.152 - - [13/Nov/2013:20:53:12 -0500] "GET /web/getNews?urltitle=Orchestra-London-Masterworks-Series--Cheng-Plays-Shostakovich HTTP/1.1" 200 525
129.100.92.152 - - [13/Nov/2013:20:53:17 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=0&count=10 HTTP/1.1" 200 2403
129.100.92.152 - - [13/Nov/2013:20:53:21 -0500] "GET /web/getNews?urltitle=London-Ladys-Half-Marathon-Relay-5k HTTP/1.1" 200 943
129.100.92.152 - - [13/Nov/2013:20:53:27 -0500] "GET /web/getSpecifyCategoryEvent?fromDate=20131113&cid=11&startid=10&count=10 HTTP/1.1" 200 2311
